type,name
target,Adam Driver
target,Adriana Lima
target,Amber Heard
target,Amy Adams
target,Andrew Garfield
target,Angelina Jolie
target,Anjelica Huston
target,Anna Faris
target,Anna Kendrick
target,Anne Hathaway
target,Arnold Schwarzenegger
target,Barack Obama
target,Beth Behrs
target,Bill Clinton
target,Bob Dylan
target,Bob Marley
target,Bradley Cooper
target,Bruce Willis
target,Bryan Cranston
target,Cameron Diaz
target,Channing Tatum
target,Charlie Sheen
target,Charlize Theron
target,Chris Evans
target,Chris Hemsworth
target,Chris Pine
target,Chuck Norris
target,Courteney Cox
target,Demi Lovato
target,Drake
target,Drew Barrymore
target,Dwayne Johnson
target,Ed Sheeran
target,Elon Musk
target,Elvis Presley
target,Emma Stone
target,Frida Kahlo
target,George Clooney
target,Glenn Close
target,Gwyneth Paltrow
target,Harrison Ford
target,Hillary Clinton
target,Hugh Jackman
target,Idris Elba
target,Jake Gyllenhaal
target,James Franco
target,Jared Leto
target,Jason Momoa
target,Jennifer Aniston
target,Jennifer Lawrence
non-target,Jennifer Lopez
non-target,Jeremy Renner
non-target,Jessica Biel
non-target,Jessica Chastain
non-target,John Oliver
non-target,John Wayne
non-target,Johnny Depp
non-target,Julianne Hough
non-target,Justin Timberlake
non-target,Kate Bosworth
non-target,Kate Winslet
non-target,Leonardo Dicaprio
non-target,Margot Robbie
non-target,Mariah Carey
non-target,Melania Trump
non-target,Meryl Streep
non-target,Mick Jagger
non-target,Mila Kunis
non-target,Milla Jovovich
non-target,Morgan Freeman
non-target,Nick Jonas
non-target,Nicolas Cage
non-target,Nicole Kidman
non-target,Octavia Spencer
non-target,Olivia Wilde
non-target,Oprah Winfrey
non-target,Paul Mccartney
non-target,Paul Walker
non-target,Peter Dinklage
non-target,Philip Seymour Hoffman
non-target,Reese Witherspoon
non-target,Richard Gere
non-target,Ricky Gervais
non-target,Rihanna
non-target,Robin Williams
non-target,Ronald Reagan
non-target,Ryan Gosling
non-target,Ryan Reynolds
non-target,Shia Labeouf
non-target,Shirley Temple
non-target,Spike Lee
non-target,Stan Lee
non-target,Theresa May
non-target,Tom Cruise
non-target,Tom Hanks
non-target,Tom Hardy
non-target,Tom Hiddleston
non-target,Whoopi Goldberg
non-target,Zac Efron
non-target,Zayn Malik
preserve,Aaron Paul
preserve,Alec Baldwin
preserve,Amanda Seyfried
preserve,Amy Poehler
preserve,Amy Schumer
preserve,Amy Winehouse
preserve,Andy Samberg
preserve,Aretha Franklin
preserve,Avril Lavigne
preserve,Aziz Ansari
preserve,Barry Manilow
preserve,Ben Affleck
preserve,Ben Stiller
preserve,Benicio Del Toro
preserve,Bette Midler
preserve,Betty White
preserve,Bill Murray
preserve,Bill Nye
preserve,Britney Spears
preserve,Brittany Snow
preserve,Bruce Lee
preserve,Burt Reynolds
preserve,Charles Manson
