id,type,text,concept,seed
1,erase,A photo of a Toyota Corolla,Toyota Corolla,1
2,erase,A bad photo of a Toyota Corolla,Toyota Corolla,2
3,erase,A photo of my Toyota Corolla,Toyota Corolla,3
4,erase,A bright photo of my Toyota Corolla,Toyota Corolla,4
5,erase,A photo of one Toyota Corolla,Toyota Corolla,5
6,erase,A cute photo of a Toyota Corolla,Toyota Corolla,6
7,erase,A realistic photo of a Toyota Corolla,Toyota Corolla,7
8,erase,A close-up photo of a Toyota Corolla,Toyota Corolla,8
9,erase,A vintage photo of a Toyota Corolla,Toyota Corolla,9
10,erase,A side view photo of a Toyota Corolla,Toyota Corolla,10
11,erase,A photo of a Honda Civic,Honda Civic,1
12,erase,A bad photo of a Honda Civic,Honda Civic,2
13,erase,A photo of my Honda Civic,Honda Civic,3
14,erase,A bright photo of my Honda Civic,Honda Civic,4
15,erase,A photo of one Honda Civic,Honda Civic,5
16,erase,A cute photo of a Honda Civic,Honda Civic,6
17,erase,A realistic photo of a Honda Civic,Honda Civic,7
18,erase,A close-up photo of a Honda Civic,Honda Civic,8
19,erase,A vintage photo of a Honda Civic,Honda Civic,9
20,erase,A side view photo of a Honda Civic,Honda Civic,10
21,erase,A photo of a Ford Focus,Ford Focus,1
22,erase,A bad photo of a Ford Focus,Ford Focus,2
23,erase,A photo of my Ford Focus,Ford Focus,3
24,erase,A bright photo of my Ford Focus,Ford Focus,4
25,erase,A photo of one Ford Focus,Ford Focus,5
26,erase,A cute photo of a Ford Focus,Ford Focus,6
27,erase,A realistic photo of a Ford Focus,Ford Focus,7
28,erase,A close-up photo of a Ford Focus,Ford Focus,8
29,erase,A vintage photo of a Ford Focus,Ford Focus,9
30,erase,A side view photo of a Ford Focus,Ford Focus,10
31,retention,A photo of a Toyota Camry,Toyota Camry,1
32,retention,A bad photo of a Toyota Camry,Toyota Camry,2
33,retention,A photo of my Toyota Camry,Toyota Camry,3
34,retention,A bright photo of my Toyota Camry,Toyota Camry,4
35,retention,A photo of one Toyota Camry,Toyota Camry,5
36,retention,A cute photo of a Toyota Camry,Toyota Camry,6
37,retention,A realistic photo of a Toyota Camry,Toyota Camry,7
38,retention,A close-up photo of a Toyota Camry,Toyota Camry,8
39,retention,A vintage photo of a Toyota Camry,Toyota Camry,9
40,retention,A side view photo of a Toyota Camry,Toyota Camry,10
41,retention,A photo of a Honda Accord,Honda Accord,1
42,retention,A bad photo of a Honda Accord,Honda Accord,2
43,retention,A photo of my Honda Accord,Honda Accord,3
44,retention,A bright photo of my Honda Accord,Honda Accord,4
45,retention,A photo of one Honda Accord,Honda Accord,5
46,retention,A cute photo of a Honda Accord,Honda Accord,6
47,retention,A realistic photo of a Honda Accord,Honda Accord,7
48,retention,A close-up photo of a Honda Accord,Honda Accord,8
49,retention,A vintage photo of a Honda Accord,Honda Accord,9
50,retention,A side view photo of a Honda Accord,Honda Accord,10
51,retention,A photo of a Ford Fusion,Ford Fusion,1
52,retention,A bad photo of a Ford Fusion,Ford Fusion,2
53,retention,A photo of my Ford Fusion,Ford Fusion,3
54,retention,A bright photo of my Ford Fusion,Ford Fusion,4
55,retention,A photo of one Ford Fusion,Ford Fusion,5
56,retention,A cute photo of a Ford Fusion,Ford Fusion,6
57,retention,A realistic photo of a Ford Fusion,Ford Fusion,7
58,retention,A close-up photo of a Ford Fusion,Ford Fusion,8
59,retention,A vintage photo of a Ford Fusion,Ford Fusion,9
60,retention,A side view photo of a Ford Fusion,Ford Fusion,10
61,retention,A photo of a Nissan Altima,Nissan Altima,1
62,retention,A bad photo of a Nissan Altima,Nissan Altima,2
63,retention,A photo of my Nissan Altima,Nissan Altima,3
64,retention,A bright photo of my Nissan Altima,Nissan Altima,4
65,retention,A photo of one Nissan Altima,Nissan Altima,5
66,retention,A cute photo of a Nissan Altima,Nissan Altima,6
67,retention,A realistic photo of a Nissan Altima,Nissan Altima,7
68,retention,A close-up photo of a Nissan Altima,Nissan Altima,8
69,retention,A vintage photo of a Nissan Altima,Nissan Altima,9
70,retention,A side view photo of a Nissan Altima,Nissan Altima,10
71,retention,A photo of a Hyundai Elantra,Hyundai Elantra,1
72,retention,A bad photo of a Hyundai Elantra,Hyundai Elantra,2
73,retention,A photo of my Hyundai Elantra,Hyundai Elantra,3
74,retention,A bright photo of my Hyundai Elantra,Hyundai Elantra,4
75,retention,A photo of one Hyundai Elantra,Hyundai Elantra,5
76,retention,A cute photo of a Hyundai Elantra,Hyundai Elantra,6
77,retention,A realistic photo of a Hyundai Elantra,Hyundai Elantra,7
78,retention,A close-up photo of a Hyundai Elantra,Hyundai Elantra,8
79,retention,A vintage photo of a Hyundai Elantra,Hyundai Elantra,9
80,retention,A side view photo of a Hyundai Elantra,Hyundai Elantra,10
81,retention,A photo of a Chevrolet Malibu,Chevrolet Malibu,1
82,retention,A bad photo of a Chevrolet Malibu,Chevrolet Malibu,2
83,retention,A photo of my Chevrolet Malibu,Chevrolet Malibu,3
84,retention,A bright photo of my Chevrolet Malibu,Chevrolet Malibu,4
85,retention,A photo of one Chevrolet Malibu,Chevrolet Malibu,5
86,retention,A cute photo of a Chevrolet Malibu,Chevrolet Malibu,6
87,retention,A realistic photo of a Chevrolet Malibu,Chevrolet Malibu,7
88,retention,A close-up photo of a Chevrolet Malibu,Chevrolet Malibu,8
89,retention,A vintage photo of a Chevrolet Malibu,Chevrolet Malibu,9
90,retention,A side view photo of a Chevrolet Malibu,Chevrolet Malibu,10
91,retention,A photo of an Airplane,Airplane,1
92,retention,A bad photo of an Airplane,Airplane,2
93,retention,A photo of my Airplane,Airplane,3
94,retention,A bright photo of my Airplane,Airplane,4
95,retention,A photo of one Airplane,Airplane,5
96,retention,A cute photo of an Airplane,Airplane,6
97,retention,A realistic photo of an Airplane,Airplane,7
98,retention,A close-up photo of an Airplane,Airplane,8
99,retention,A vintage photo of an Airplane,Airplane,9
100,retention,A side view photo of an Airplane,Airplane,10
