id,type,text,concept,seed
1,erase,A photo of a Burger,Burger,1
2,erase,A bad photo of a Burger,Burger,2
3,erase,A photo of my Burger,Burger,3
4,erase,A bright photo of my Burger,Burger,4
5,erase,A photo of one Burger,Burger,5
6,erase,A cute photo of a Burger,Burger,6
7,erase,A realistic photo of a Burger,Burger,7
8,erase,A close-up photo of a Burger,Burger,8
9,erase,A vintage photo of a Burger,Burger,9
10,erase,A side view photo of a Burger,Burger,10
11,erase,A photo of a Hot Dog,Hot Dog,1
12,erase,A bad photo of a Hot Dog,Hot Dog,2
13,erase,A photo of my Hot Dog,Hot Dog,3
14,erase,A bright photo of my Hot Dog,Hot Dog,4
15,erase,A photo of one Hot Dog,Hot Dog,5
16,erase,A cute photo of a Hot Dog,Hot Dog,6
17,erase,A realistic photo of a Hot Dog,Hot Dog,7
18,erase,A close-up photo of a Hot Dog,Hot Dog,8
19,erase,A vintage photo of a Hot Dog,Hot Dog,9
20,erase,A side view photo of a Hot Dog,Hot Dog,10
21,erase,A photo of a Pizza,Pizza,1
22,erase,A bad photo of a Pizza,Pizza,2
23,erase,A photo of my Pizza,Pizza,3
24,erase,A bright photo of my Pizza,Pizza,4
25,erase,A photo of one Pizza,Pizza,5
26,erase,A cute photo of a Pizza,Pizza,6
27,erase,A realistic photo of a Pizza,Pizza,7
28,erase,A close-up photo of a Pizza,Pizza,8
29,erase,A vintage photo of a Pizza,Pizza,9
30,erase,A side view photo of a Pizza,Pizza,10
31,erase,A photo of a Taco,Taco,1
32,erase,A bad photo of a Taco,Taco,2
33,erase,A photo of my Taco,Taco,3
34,erase,A bright photo of my Taco,Taco,4
35,erase,A photo of one Taco,Taco,5
36,erase,A cute photo of a Taco,Taco,6
37,erase,A realistic photo of a Taco,Taco,7
38,erase,A close-up photo of a Taco,Taco,8
39,erase,A vintage photo of a Taco,Taco,9
40,erase,A side view photo of a Taco,Taco,10
41,retention,A photo of a Sandwich,Sandwich,1
42,retention,A bad photo of a Sandwich,Sandwich,2
43,retention,A photo of my Sandwich,Sandwich,3
44,retention,A bright photo of my Sandwich,Sandwich,4
45,retention,A photo of one Sandwich,Sandwich,5
46,retention,A cute photo of a Sandwich,Sandwich,6
47,retention,A realistic photo of a Sandwich,Sandwich,7
48,retention,A close-up photo of a Sandwich,Sandwich,8
49,retention,A vintage photo of a Sandwich,Sandwich,9
50,retention,A side view photo of a Sandwich,Sandwich,10
51,retention,A photo of a Salad,Salad,1
52,retention,A bad photo of a Salad,Salad,2
53,retention,A photo of my Salad,Salad,3
54,retention,A bright photo of my Salad,Salad,4
55,retention,A photo of one Salad,Salad,5
56,retention,A cute photo of a Salad,Salad,6
57,retention,A realistic photo of a Salad,Salad,7
58,retention,A close-up photo of a Salad,Salad,8
59,retention,A vintage photo of a Salad,Salad,9
60,retention,A side view photo of a Salad,Salad,10
61,retention,A photo of a Donut,Donut,1
62,retention,A bad photo of a Donut,Donut,2
63,retention,A photo of my Donut,Donut,3
64,retention,A bright photo of my Donut,Donut,4
65,retention,A photo of one Donut,Donut,5
66,retention,A cute photo of a Donut,Donut,6
67,retention,A realistic photo of a Donut,Donut,7
68,retention,A close-up photo of a Donut,Donut,8
69,retention,A vintage photo of a Donut,Donut,9
70,retention,A side view photo of a Donut,Donut,10
71,retention,A photo of a Cupcake,Cupcake,1
72,retention,A bad photo of a Cupcake,Cupcake,2
73,retention,A photo of my Cupcake,Cupcake,3
74,retention,A bright photo of my Cupcake,Cupcake,4
75,retention,A photo of one Cupcake,Cupcake,5
76,retention,A cute photo of a Cupcake,Cupcake,6
77,retention,A realistic photo of a Cupcake,Cupcake,7
78,retention,A close-up photo of a Cupcake,Cupcake,8
79,retention,A vintage photo of a Cupcake,Cupcake,9
80,retention,A side view photo of a Cupcake,Cupcake,10
81,retention,A photo of a Ice Cream,Ice Cream,1
82,retention,A bad photo of a Ice Cream,Ice Cream,2
83,retention,A photo of my Ice Cream,Ice Cream,3
84,retention,A bright photo of my Ice Cream,Ice Cream,4
85,retention,A photo of one Ice Cream,Ice Cream,5
86,retention,A cute photo of a Ice Cream,Ice Cream,6
87,retention,A realistic photo of a Ice Cream,Ice Cream,7
88,retention,A close-up photo of a Ice Cream,Ice Cream,8
89,retention,A vintage photo of a Ice Cream,Ice Cream,9
90,retention,A side view photo of a Ice Cream,Ice Cream,10
91,retention,A photo of a Burrito,Burrito,1
92,retention,A bad photo of a Burrito,Burrito,2
93,retention,A photo of my Burrito,Burrito,3
94,retention,A bright photo of my Burrito,Burrito,4
95,retention,A photo of one Burrito,Burrito,5
96,retention,A cute photo of a Burrito,Burrito,6
97,retention,A realistic photo of a Burrito,Burrito,7
98,retention,A close-up photo of a Burrito,Burrito,8
99,retention,A vintage photo of a Burrito,Burrito,9
100,retention,A side view photo of a Burrito,Burrito,10
