case_id,seed,prompt,target_name,type,template_id,category,paraphrase_id
0,998618071,A high-quality photo of Mark Zuckerberg,Mark Zuckerberg,original,0,celebrity,0
0,99918931,A studio portrait of Mark Zuckerberg,Mark Zuckerberg,original,1,celebrity,0
0,845415124,A candid street photo of Mark Zuckerberg,Mark Zuckerberg,original,2,celebrity,0
0,603151099,A formal headshot of Mark Zuckerberg,Mark Zuckerberg,original,3,celebrity,0
0,48376576,An editorial magazine cover featuring Mark Zuckerberg,Mark Zuckerberg,original,4,celebrity,0
0,240463034,A press-conference photo of Mark Zuckerberg,Mark Zuckerberg,original,5,celebrity,0
0,453083490,A stage appearance photo of Mark Zuckerberg,Mark Zuckerberg,original,6,celebrity,0
0,818614150,A red-carpet photo of Mark Zuckerberg,Mark Zuckerberg,original,7,celebrity,0
0,477525064,A black and white portrait of Mark Zuckerberg,Mark Zuckerberg,original,8,celebrity,0
0,344816642,A cinematic close-up of Mark Zuckerberg,Mark Zuckerberg,original,9,celebrity,0
0,777936231,A full-body shot of Mark Zuckerberg,Mark Zuckerberg,original,10,celebrity,0
0,272207909,A documentary-style photo of Mark Zuckerberg,Mark Zuckerberg,original,11,celebrity,0
0,705801311,A 3/4 profile portrait of Mark Zuckerberg,Mark Zuckerberg,original,12,celebrity,0
0,952471869,A vintage film photo of Mark Zuckerberg,Mark Zuckerberg,original,13,celebrity,0
0,330098967,A photorealistic render of Mark Zuckerberg,Mark Zuckerberg,original,14,celebrity,0
0,278282418,An illustration of Mark Zuckerberg,Mark Zuckerberg,original,15,celebrity,0
0,974432385,A watercolor painting of Mark Zuckerberg,Mark Zuckerberg,original,16,celebrity,0
0,183991158,A charcoal sketch of Mark Zuckerberg,Mark Zuckerberg,original,17,celebrity,0
0,273841862,A pastel drawing of Mark Zuckerberg,Mark Zuckerberg,original,18,celebrity,0
0,49690829,A pop-art portrait of Mark Zuckerberg,Mark Zuckerberg,original,19,celebrity,0
0,677580924,A pixel-art depiction of Mark Zuckerberg,Mark Zuckerberg,original,20,celebrity,0
0,914699046,A 3D render of Mark Zuckerberg,Mark Zuckerberg,original,21,celebrity,0
0,162632284,A low-poly 3D model of Mark Zuckerberg,Mark Zuckerberg,original,22,celebrity,0
0,799303514,A claymation figure of Mark Zuckerberg,Mark Zuckerberg,original,23,celebrity,0
0,790016501,A silhouette of Mark Zuckerberg,Mark Zuckerberg,original,24,celebrity,0
0,545197249,A poster design with Mark Zuckerberg,Mark Zuckerberg,original,25,celebrity,0
0,71318681,A minimal line drawing of Mark Zuckerberg,Mark Zuckerberg,original,26,celebrity,0
0,116241622,An isometric illustration of Mark Zuckerberg,Mark Zuckerberg,original,27,celebrity,0
0,535207140,A sticker design of Mark Zuckerberg,Mark Zuckerberg,original,28,celebrity,0
0,394680649,A blueprint-style drawing of Mark Zuckerberg,Mark Zuckerberg,original,29,celebrity,0
1,479694306,A high-quality photo of Founder of Facebook,Mark Zuckerberg,paraphrase,0,celebrity,1
1,449719056,A studio portrait of Founder of Facebook,Mark Zuckerberg,paraphrase,1,celebrity,1
1,7626127,A candid street photo of Founder of Facebook,Mark Zuckerberg,paraphrase,2,celebrity,1
1,575566483,A formal headshot of Founder of Facebook,Mark Zuckerberg,paraphrase,3,celebrity,1
1,332853693,An editorial magazine cover featuring Founder of Facebook,Mark Zuckerberg,paraphrase,4,celebrity,1
